T:	[18:55:54:372829]	*IDN?	R:	[18:55:54:513989]	ROBOT_PREMO, V1.0
T:	[19:12:26:984947]	STATE?	R:	[19:12:26:985122]	2
T:	[19:12:27:288741]	STATE?	R:	[19:12:27:309509]	2
T:	[19:12:27:609364]	STATE?	R:	[19:12:27:614595]	2
T:	[19:12:27:923408]	STATE?	R:	[19:12:27:923582]	2
T:	[19:12:28:233327]	STATE?	R:	[19:12:28:253988]	2
T:	[19:12:28:543696]	STATE?	R:	[19:12:28:543843]	2
T:	[19:12:28:849250]	STATE?	R:	[19:12:28:849470]	2
T:	[19:12:29:155594]	STATE?	R:	[19:12:29:155855]	2
T:	[19:12:29:470354]	STATE?	R:	[19:12:29:486247]	3
T:	[19:12:29:778279]	STATE?	R:	[19:12:29:783760]	3
T:	[19:12:30:089889]	STATE?	R:	[19:12:30:100561]	3
T:	[19:12:30:397773]	STATE?	R:	[19:12:30:403014]	3
T:	[19:12:30:704162]	STATE?	R:	[19:12:30:704350]	3
T:	[19:12:31:010498]	STATE?	R:	[19:12:31:015750]	3
T:	[19:12:31:311891]	STATE?	R:	[19:12:31:322349]	3
T:	[19:12:31:617165]	STATE?	R:	[19:12:31:642780]	3
T:	[19:12:31:919227]	STATE?	R:	[19:12:31:919376]	3
T:	[19:12:32:225103]	STATE?	R:	[19:12:32:225283]	3
T:	[19:12:32:530569]	STATE?	R:	[19:12:32:546167]	3
T:	[19:12:32:834146]	STATE?	R:	[19:12:32:834322]	3
T:	[19:12:33:144098]	STATE?	R:	[19:12:33:149331]	3
T:	[19:12:33:450608]	STATE?	R:	[19:12:33:450784]	3
T:	[19:12:33:762656]	STATE?	R:	[19:12:33:762839]	3
T:	[19:12:34:083619]	STATE?	R:	[19:12:34:083768]	3
T:	[19:12:34:404412]	STATE?	R:	[19:12:34:404583]	3
T:	[19:12:34:723670]	STATE?	R:	[19:12:34:729035]	3
T:	[19:12:35:029660]	STATE?	R:	[19:12:35:029842]	3
T:	[19:12:35:337159]	STATE?	R:	[19:12:35:352771]	3
T:	[19:12:35:696146]	STATE?	R:	[19:12:35:696355]	3
T:	[19:12:36:018739]	STATE?	R:	[19:12:36:038370]	3
T:	[19:12:36:339231]	STATE?	R:	[19:12:36:339396]	3
T:	[19:12:36:642387]	STATE?	R:	[19:12:36:642550]	3
T:	[19:12:36:951975]	STATE?	R:	[19:12:36:957235]	3
T:	[19:12:37:260498]	STATE?	R:	[19:12:37:281379]	3
T:	[19:12:37:569407]	STATE?	R:	[19:12:37:569590]	3
T:	[19:12:37:878370]	STATE?	R:	[19:12:37:878545]	3
T:	[19:12:38:184508]	STATE?	R:	[19:12:38:210665]	3
T:	[19:12:38:486618]	STATE?	R:	[19:12:38:486836]	3
T:	[19:12:38:797331]	STATE?	R:	[19:12:38:797522]	3
T:	[19:12:39:102317]	STATE?	R:	[19:12:39:107566]	3
T:	[19:12:39:112808]	MoveFromHiPotToLCR	R:	[19:12:39:134088]	ACK
T:	[19:12:39:440294]	STATE?	R:	[19:12:39:446054]	3
T:	[19:12:39:743347]	STATE?	R:	[19:12:39:743513]	3
T:	[19:12:40:049562]	STATE?	R:	[19:12:40:055229]	3
T:	[19:12:40:351459]	STATE?	R:	[19:12:40:356714]	3
T:	[19:12:40:654501]	STATE?	R:	[19:12:40:659793]	3
T:	[19:12:40:967552]	STATE?	R:	[19:12:40:978021]	3
T:	[19:12:41:270995]	STATE?	R:	[19:12:41:271242]	3
T:	[19:12:41:584227]	STATE?	R:	[19:12:41:584440]	3
T:	[19:12:41:887079]	STATE?	R:	[19:12:41:892407]	3
T:	[19:12:42:194853]	STATE?	R:	[19:12:42:195155]	3
T:	[19:12:42:519512]	STATE?	R:	[19:12:42:524773]	3
T:	[19:12:42:825535]	STATE?	R:	[19:12:42:830805]	3
T:	[19:12:43:128680]	STATE?	R:	[19:12:43:128874]	3
T:	[19:12:43:446317]	STATE?	R:	[19:12:43:451584]	3
T:	[19:12:43:749750]	STATE?	R:	[19:12:43:755031]	3
T:	[19:12:44:055923]	STATE?	R:	[19:12:44:061197]	3
T:	[19:12:44:357156]	STATE?	R:	[19:12:44:357298]	3
T:	[19:12:44:661324]	STATE?	R:	[19:12:44:669765]	3
T:	[19:12:44:966458]	STATE?	R:	[19:12:44:971741]	3
T:	[19:12:45:276432]	STATE?	R:	[19:12:45:276597]	3
T:	[19:12:45:577869]	STATE?	R:	[19:12:45:583168]	3
T:	[19:12:45:887744]	STATE?	R:	[19:12:45:898022]	3
T:	[19:12:46:189162]	STATE?	R:	[19:12:46:189310]	3
T:	[19:12:46:492525]	STATE?	R:	[19:12:46:492672]	3
T:	[19:12:46:797682]	STATE?	R:	[19:12:46:797841]	3
T:	[19:12:47:104212]	STATE?	R:	[19:12:47:114664]	3
T:	[19:12:47:415456]	STATE?	R:	[19:12:47:415818]	3
T:	[19:12:47:718819]	STATE?	R:	[19:12:47:724070]	3
T:	[19:12:48:022338]	STATE?	R:	[19:12:48:027601]	3
T:	[19:12:48:329432]	STATE?	R:	[19:12:48:329582]	3
T:	[19:12:48:630929]	STATE?	R:	[19:12:48:636157]	3
T:	[19:12:48:934472]	STATE?	R:	[19:12:48:939919]	3
T:	[19:12:49:239478]	STATE?	R:	[19:12:49:239637]	5
T:	[19:12:49:583779]	STATE?	R:	[19:12:49:583924]	5
T:	[19:12:49:888455]	STATE?	R:	[19:12:49:893961]	5
T:	[19:12:50:207431]	STATE?	R:	[19:12:50:222887]	5
T:	[19:12:50:513341]	STATE?	R:	[19:12:50:513488]	5
T:	[19:12:50:824580]	STATE?	R:	[19:12:50:829930]	5
T:	[19:12:50:855330]	DUT_SERIAL_NB?	R:	[19:12:51:223058]	22\07\0912365

T:	[19:12:51:555707]	STATE?	R:	[19:12:51:560941]	5
T:	[19:12:51:581352]	MoveFromInpToHiPot	R:	[19:12:51:692085]	ACK
T:	[19:12:51:991776]	STATE?	R:	[19:12:52:002252]	5
T:	[19:12:52:296264]	STATE?	R:	[19:12:52:296420]	5
T:	[19:12:52:604589]	STATE?	R:	[19:12:52:634845]	5
T:	[19:12:52:910713]	STATE?	R:	[19:12:52:910863]	5
T:	[19:12:53:216424]	STATE?	R:	[19:12:53:216577]	5
T:	[19:12:53:522644]	STATE?	R:	[19:12:53:522968]	5
T:	[19:12:53:824151]	STATE?	R:	[19:12:53:839704]	5
T:	[19:12:54:129974]	STATE?	R:	[19:12:54:130123]	5
T:	[19:12:54:434204]	STATE?	R:	[19:12:54:434459]	5
T:	[19:12:54:737662]	STATE?	R:	[19:12:54:748131]	5
T:	[19:12:55:041319]	STATE?	R:	[19:12:55:041489]	5
T:	[19:12:55:345422]	STATE?	R:	[19:12:55:351383]	5
T:	[19:12:55:648349]	STATE?	R:	[19:12:55:648573]	5
T:	[19:12:55:954275]	STATE?	R:	[19:12:55:954424]	4
T:	[19:12:56:258666]	STATE?	R:	[19:12:56:258820]	4
T:	[19:12:56:564843]	STATE?	R:	[19:12:56:564992]	4
T:	[19:12:56:866573]	STATE?	R:	[19:12:56:866774]	4
T:	[19:12:57:168871]	STATE?	R:	[19:12:57:169084]	4
T:	[19:12:57:470811]	STATE?	R:	[19:12:57:481485]	4
T:	[19:12:57:776927]	STATE?	R:	[19:12:57:777096]	4
T:	[19:12:58:080111]	STATE?	R:	[19:12:58:085440]	4
T:	[19:12:58:381970]	STATE?	R:	[19:12:58:387276]	4
T:	[19:12:58:688116]	STATE?	R:	[19:12:58:698488]	4
T:	[19:12:58:992864]	STATE?	R:	[19:12:58:999110]	4
T:	[19:12:59:301843]	STATE?	R:	[19:12:59:301995]	4
T:	[19:12:59:610099]	STATE?	R:	[19:12:59:615330]	4
T:	[19:12:59:912972]	STATE?	R:	[19:12:59:913156]	4
